   107   5 0 1  0.0058259401 -0.8785533522    6.01     7.88    11.40   0.21   0.20   0.32   0.25   0.24 170  1.00  0    0.0    0  5.6243 0.0012 0.015 2  1.615 0.006  1.880   1.04   0.71   1.05  -0.40   0.75   1.00   0.77   0.38  -0.24   1.00   0.50   0.79  -0.18  -0.12   1.00
   122   5 0 1  0.0069704752 -1.3450431269   15.02   -57.30  -177.06   0.16   0.14   0.18   0.19   0.15 142 -0.13  1    0.0    0  4.9354 0.0006 0.005 0  1.254 0.039  1.260   1.03   0.86   1.03  -0.90   1.08   1.00  -0.57  -0.31   0.05   1.00  -0.43   0.75   0.59   0.14   1.00
   124   5 0 1  0.0070554113  1.0685395054    1.06    -3.14    -0.74   0.20   0.19   0.27   0.26   0.21 153  1.28  0    0.0    0  5.6725 0.0006 0.005 0  0.407 0.003  0.470   1.01   0.56   1.00  -0.42  -0.29   1.01  -0.31  -0.22   0.35   1.00  -0.26   0.08  -0.72   0.24   1.00
   145   5 0 1  0.0079585109 -0.0528394792    7.18    19.08    -9.66   0.28   0.17   0.30   0.32   0.16 100  1.86  0    0.0    0  5.0831 0.0006 0.006 0 -0.128 0.009 -0.120   1.16  -2.81   1.05  -0.75   0.31   1.00   1.73  -0.65   0.18   1.06  -2.01   2.28  -0.29  -2.53   1.00
   183   5 0 1  0.0101748390 -0.5187196794    6.49     9.34    14.50   0.20   0.12   0.25   0.29   0.15 137 -0.70  2    0.0    0  4.9895 0.0005 0.005 0 -0.150 0.042 -0.140   1.05  -0.78   1.08  -0.08  -0.08   1.00  -0.76   0.47  -0.18   1.02   0.94   2.65   0.09   1.39   1.00
   194   5 0 1  0.0108906666  0.1481012820   27.10   -94.10   -47.42   0.28   0.19   0.35   0.34   0.21 103  0.79  0    0.0    0  5.7806 0.0008 0.005 0  0.315 0.006  0.360   1.11  -2.42   1.02  -0.30  -0.53   1.06   0.09  -0.35  -0.78   1.13  -0.52   0.29  -0.72  -2.59   1.00
   301   5 0 1  0.0163168258 -0.3025697545   11.98    25.17    -9.16   0.24   0.10   0.26   0.27   0.11 149  0.93  0    0.0    0  4.5366 0.0005 0.005 0 -0.047 0.003 -0.030   1.14  -1.86   1.05  -0.66  -0.12   1.02   2.06  -0.30  -0.28   1.01  -1.40   2.87  -1.72  -0.92   1.00
   330   5 0 1  0.0184469447  1.0871248320    0.84    -1.32     0.14   0.23   0.25   0.32   0.27   0.29 146  2.08  0    0.0    0  5.9712 0.0005 0.006 0  0.274 0.004  0.310   1.06   1.21   1.04  -0.12  -1.07   1.03  -0.92  -0.01  -0.18   1.02  -0.22   0.30  -0.88   0.69   1.00
   343   5 0 1  0.0188903896 -0.2884835481   11.03    47.64   -61.36   0.37   0.20   0.45   0.64   0.22 132  2.29  0    0.0    0  5.9562 0.0006 0.007 0  1.084 0.007  1.050   1.09  -1.16   1.08  -0.02   0.11   1.08  -0.66  -0.03  -0.66   1.01   0.18   2.15  -0.92  -0.55   1.00
   355   5 0 1  0.0196438507 -0.1834252794    1.56    -6.85   -12.02   0.22   0.14   0.31   0.39   0.16 155  1.56  1    0.0    0  5.0996 0.0009 0.008 0  1.619 0.005  1.640   1.12  -3.87   1.08   0.55  -0.13   1.07  -0.03  -0.14  -1.08   1.05  -0.20   2.83   0.00  -2.11   1.00
   377   5 0 1  0.0204532960 -1.2468083840    5.70    29.62   -12.76   0.21   0.18   0.24   0.24   0.20 131  0.98  0    0.0    0  5.5635 0.0006 0.008 0 -0.100 0.003 -0.080   1.01  -0.11   1.01  -0.63   0.53   1.00   0.04  -0.41  -0.35   1.00  -0.46  -0.06   0.03  -0.30   1.00
   379   5 0 1  0.0204957983  1.1722746136   10.79    95.93    23.20   0.20   0.23   0.29   0.26   0.25 147  1.61  0    0.0    0  5.8511 0.0006 0.006 0  1.051 0.005  1.020   1.01   0.23   1.04   0.34  -0.89   1.01   0.33  -0.51  -0.15   1.00  -0.45   0.52  -0.46  -0.43   1.00
   418   5 0 1  0.0222625887  1.0701305581    4.51    14.29     2.38   0.19   0.19   0.26   0.23   0.22 142  0.51  0    0.0    0  5.7814 0.0005 0.006 0 -0.067 0.004 -0.040   1.08   1.85   1.02  -0.17  -0.49   1.03  -0.52   0.63   0.16   1.07   0.43   0.01  -0.97   1.73   1.00
   439   5 0 1  0.0232923883 -0.6519098145  230.42  5634.68 -2337.71   0.65   0.58   0.90   0.86   0.71 145 -0.12  0    0.0    0  8.6181 0.0016 0.020 0  1.462 0.026  2.130   1.04  -0.46   1.06  -0.03   0.13   1.03   0.06  -0.01   0.10   1.01  -0.03   0.52   0.29  -0.18   1.00
   476   5 0 1  0.0248662722  0.2338092342    8.75    43.58    -5.96   0.23   0.16   0.30   0.26   0.19 156 -0.22  0    0.0    0  5.7076 0.0004 0.005 0  0.901 0.001  0.870   1.23  -3.91   1.05   0.61   0.96   1.01  -0.39   0.11   0.56   1.31   0.42   0.49   0.11  -4.39   1.00
   531   5 0 1  0.0281090228  1.1204345102    3.76    10.46     0.10   0.17   0.16   0.21   0.23   0.18 139 -0.24  0    0.0    0  5.5684 0.0008 0.006 0 -0.023 0.003  0.000   1.06   1.11   1.03   0.12  -0.79   1.01  -1.30   0.01   0.11   1.00  -0.22  -0.77  -0.71   0.32   1.00
   636   5 0 1  0.0339507050 -0.3928470046   12.76    69.43   -34.97   0.35   0.19   0.37   0.40   0.19 122  0.61  0    0.0    0  5.9806 0.0006 0.006 0  0.141 0.006  0.160   1.18  -0.69   1.06  -0.77  -0.11   1.00   1.41  -0.30   0.13   1.00  -0.78   1.82  -0.45   0.20   1.00
   655   5 0 1  0.0351623685 -0.5851972696   10.53   -43.55     3.32   0.29   0.19   0.38   0.26   0.26 140  1.97  0    0.0    0  5.8385 0.0006 0.006 0  1.119 0.001  1.060   1.24  -1.36   1.01  -0.63  -0.09   1.06   2.74   0.20  -0.03   1.00  -0.54   0.51  -1.53  -0.27   1.00
   729   5 0 1  0.0394399454  0.3178598033   11.44   140.02   -25.64   0.27   0.16   0.33   0.27   0.21 116  1.50  0    0.0    0  5.7323 0.0006 0.005 0  1.043 0.003  0.990   1.10  -2.15   1.00  -0.86  -0.20   1.01   0.85  -0.36  -0.16   1.14  -0.96   0.30  -0.61  -2.97   1.00
   813   5 0 1  0.0437920967  0.1945310660   10.68    30.90     1.75   0.31   0.17   0.32   0.37   0.18  89  1.40  0    0.0    0  5.5212 0.0006 0.006 0 -0.064 0.004 -0.040   1.21  -2.07   1.04   0.74  -0.51   1.01   1.92  -0.32  -0.40   1.09  -1.45   1.55   0.06  -2.71   1.00
